重量级                           00000045 
重庆                             00000062 000000a9 00000100 
重任                             00000001 000000a7 000000c6 000000c7 000000c8 000000ca 000000f4 000000fa 
重伤                             00000095 
重申                             00000001 000000c6 000000c7 000000c8 000000ca 000000f4 000000fa 
重视                             0000001a 00000033 00000040 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 00000061 00000061 00000061 00000068 00000068 0000007f 00000093 00000099 000000af 000000af 
重述                             0000009f 000000a5 
重提                             00000058 0000005f 
重围                             0000005f 
重温                             00000094 0000009c 000000a5 000000a5 
重物                             00000050 
重现                             00000032 00000032 00000073 00000098 
重写                             00000007 
重心                             00000095 
重新                             00000003 00000005 00000006 00000006 00000007 0000000a 00000011 00000012 00000013 00000014 00000016 00000016 00000016 00000016 00000017 00000018 00000018 00000018 00000018 00000019 0000001f 0000001f 0000001f 0000001f 0000001f 00000020 00000020 00000020 00000020 00000020 00000020 00000022 00000023 00000024 00000028 00000028 00000029 00000029 0000002d 0000002d 00000030 00000030 00000030 00000031 00000034 00000034 00000034 00000035 00000035 00000035 00000036 00000037 00000038 00000038 0000003b 0000003b 0000003b 0000003b 0000003d 0000003d 0000003d 00000040 00000041 00000043 00000043 00000049 00000049 00000049 00000049 0000004f 0000004f 00000050 00000050 00000051 00000055 00000055 00000057 00000057 00000059 0000005a 0000005c 0000005c 0000005c 0000005c 0000005c 0000005c 0000005e 0000005e 0000005e 0000005e 0000005e 0000005e 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 0000005f 00000070 00000071 00000071 00000075 0000007a 0000007b 0000007c 0000007d 0000007d 00000082 00000083 00000084 00000086 00000086 00000086 00000086 00000087 00000087 00000088 00000088 00000088 0000008d 0000008d 00000093 00000093 00000094 00000095 00000099 0000009a 0000009b 0000009c 0000009c 0000009c 0000009d 000000a0 000000a1 000000a5 000000a5 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a7 000000a8 000000a8 000000a8 000000ab 000000ab 000000af 000000b1 
重修                             00000017 
重压                             00000013 00000020 0000004b 
重演                             0000005a 
重阳                             0000001a 0000001a 
重阳节                           0000001a 0000001a 
